Algorithm, input order, N, time in microseconds, sorted
Introsort (STL hybrid), random, 100, 7, true
Bubble Sort, random, 1000, 1454, true
Selection Sort, random, 1000, 328, true
Insertion Sort, random, 1000, 240, true
Shell Sort, random, 1000, 88, true
Heap Sort, random, 1000, 87, true
Merge Sort, random, 1000, 90, true
Quicksort (Original), random, 1000, 59, true
Quicksort (with median of 3 and insertion sort), random, 1000, 47, true
Introsort (STL hybrid), random, 1000, 93, true
Bubble Sort, random, 2500, 9246, true
Selection Sort, random, 2500, 1838, true
Insertion Sort, random, 2500, 1628, true
Shell Sort, random, 2500, 267, true
Heap Sort, random, 2500, 238, true
Merge Sort, random, 2500, 258, true
Quicksort (Original), random, 2500, 165, true
Quicksort (with median of 3 and insertion sort), random, 2500, 137, true
Introsort (STL hybrid), random, 2500, 253, true
Bubble Sort, random, 5000, 35005, true
Selection Sort, random, 5000, 5919, true
Insertion Sort, random, 5000, 4877, true
Shell Sort, random, 5000, 499, true
Heap Sort, random, 5000, 455, true
Merge Sort, random, 5000, 470, true
Quicksort (Original), random, 5000, 344, true
Quicksort (with median of 3 and insertion sort), random, 5000, 292, true
Introsort (STL hybrid), random, 5000, 457, true
Bubble Sort, random, 7500, 89977, true
Selection Sort, random, 7500, 14830, true
Insertion Sort, random, 7500, 11308, true
Shell Sort, random, 7500, 816, true
Heap Sort, random, 7500, 746, true
Merge Sort, random, 7500, 719, true
Quicksort (Original), random, 7500, 490, true
Quicksort (with median of 3 and insertion sort), random, 7500, 411, true
Introsort (STL hybrid), random, 7500, 725, true
Bubble Sort, random, 10000, 162270, true
Selection Sort, random, 10000, 22895, true
Insertion Sort, random, 10000, 19449, true
Shell Sort, random, 10000, 1219, true
Heap Sort, random, 10000, 998, true
Merge Sort, random, 10000, 1063, true
Quicksort (Original), random, 10000, 674, true
Quicksort (with median of 3 and insertion sort), random, 10000, 658, true
Introsort (STL hybrid), random, 10000, 1062, true
